id,question,choice_0,choice_1,choice_2,choice_3,choice_4,label,human_expl_open-ended
ad96098698b8378b2e79c6424920ffbd,What type of person typically contracts illness?,hospital,head,sick person,elderly person,doctor's office,3,"C is not revelant, sick person is already ill, and elders are prone do get another illness"
6d4ed2c485187ed79ff3bdcc8cca6132,Where would you expect to find a pizzeria while shopping?,chicago,street,little italy,food court,capital cities,3,"food court is the perfect place to get any type of food, specially pizza."
a40f5339ee858a0a119cbac052c5a2d0,"When eating everything on the tasting menu, what does one tend to feel?",full stomach,getting full,gaining weight,sick,satisfaction,1,Large meals tend to fill people up
4850bf8b6b309548ef623d5592ffbca2,What does playing soccer for a long time lead to?,excitement,fatigue,anger,hurting,getting tired,4,"The other two things could happen, but are not dependent on it being a long time."
f5950a62f9eaae34f1e914b3cf5208cf,You can share files with someone if you have a connection to a what?,freeway,radio,wires,computer network,electrical circuit,3,"Files can be transmitted over a computer network, and not a freeway.  ""wires"" doesnt make any sense"
f36489668c28b26c0cdbc56cec1db27b,"The accelerator was controller via a hand throttle, and the foot pedals controlled the steering in the small what?",car,fuel system,accelerate,boat,airplane,4,is the best option in all
84e983f432647531b55b8b72c12fb78a,"Joe suffered many consequences from stabbing a stranger to death.   Among them, the family of the victim did something to him. What was that?",knife wounds,buy a gun,bleeding,jail time,law suit,4,A law suit punishes as a result for committing a crime such as stabbing a stranger to death
68f123f22be7bff13875e8b752b2d933,To prevent any glare during the big football game he made sure to clean the dust of his what?,television,attic,corner,they cannot clean corner and library during football match they cannot need that,ground,0,TVs can have glare and dust.
c9580b132b323906f0d51e7dc5b4ce29,"I have something in my head I want to share, what ways can I do that?",write an essay,organize thoughts,speak information,summarize main points,have information,2,"speak information something in my head I want to share,what ways"
a261d4eaf8b33c0730d830ebbffbd9f8,What would a camper need to do before he or she can start cooking food?,make breakfast,go hiking,pack or bag,light fire,grab a match,3,light fire would a camper need to do before he or she can start cooking food?
5a953b5fb26f1614640574f65410e8b0,"Mark's semen was very thick, but after his vasectomy it was also what?",blank,sparse,thin,clear,free flowing,3,Vasectomy stops the production of sperm which makes semen cloudy.
7a7ff4499a7162265ddac0c3e2e8e5fc,The president is the leader of what institution?,walmart,white house,country,corporation,government,4,The constituion say it.
fb721d7949d06915a2dd6fc6ec815325,Sitting to close while watching TV can cause what sort of pain?,brain problems,laziness,get fat,headache,laughter,3,the process of aging in humans
47db2878d917ceb8d82627de4722a254,Where is a bald eagle safe?,pine tree,open country,in washington,wildlife refuge,sky,3,Wildlife refuge places keep bald eagles safe from people and other animals.
89586c4ab04f3133a2c7165322409c3d,What is eating too much dinner likely to result in?,tiredness,living longer,stomach ache,illness,acid reflux,2,the other options are unlikely
98b176ac1c91370e079863d13c7dd964,What is a person chatting with friends likely hoping to accomplish?,gathering of information,communication,feel relaxed,kill boredom,social bonding,4,Chatting with friends is more informal and trying to have fun and understanding the person better. If you're gathering information you would be interrogating them
b13d110147ecf24562b64a69df4fe5ad,"Jame's bare feet were burned as he walked, because the sunshine had made the surface hot.  Where might he have been?",disneyland,snow,windowsill,street,summer,3,"The sunshine makes the street, which is a surface hot, due to material it is composed of."
c428412a660f34965772a7389ce58e0a,What might be the result of a season of successful skiing?,finish line,broken bones,broken legs,chapped lips,healthy body,4,sucessful skiing implies that you will become healhty
a662c9971a497d601c5be888670d10ae,"The man was eating lunch, but rushed when he looked at his watch, why did he rush?",gain weight,late for work,heartburn,bad breath,early for work,1,You wouldn't gain weight that fast. You wouldn't rush because of bad breath.
8bf8c8597dfc5e8ec72b486541338e33,"The evacuation became mandatory, so what came on the TV?",advisory,mandate,soap opera,elective,optional,0,I consider it the best option because they have to be more true
313b72ce5b14f3d0b86b91c7bc6497be,The person gave a good hands on what to show how to do the work?,demonstration,garage,building,barn,synagogue,0,"Demonstration is the only thing that shows something, and not is something"
6efbe0725841b961848b6935fe67a471,Where would you see some people doing jumping jacks?,military base,opera,water fountain,bus stop,church,0,Jumping jacks is an exercise that is routinely done on a military base.
3f720c9ad7f3eb99400dd8c81fc269d8,"Learning languages is difficult.  Even in a full immersion environment you're likely to make mistakes, mistakes will cause misinterpretation, which will be uncomfortable, which will cause what?,",better communication,overthinking,frustration,misunderstandings,headaches,2,DID NOT ABLE TO UNDERSTOOD THE LANGUAGE
4dbeeb50a01a3b5c9c76d1052c4b14ea,"Jim enjoyed killing people, but he did it too often and the cops found out.  What might the cops do to him?",going to jail,going to prison,beat him up,get arrested,die,3,cops found jim killing people and arrested him
8f495e9bcd88ce23617197520442090c,What is the only was to recover from exhaustion?,mediate,have rest,stay in bed,run out of steam,go to sleep,1,Resting your body is the only physical option for recovery from exhaustion.
6dc921840aa1e5dda3333b79007f630b,What would you do if you want to be able to earn money?,apply for job,stand in line,take care of proposals,pass course,play the lottery,0,The only way to earn money is to get a job thus you must apply for a job.
c879e1677869c4d58102c608da805453,What is a grumpy person likely to have?,headache,understand themselves,compliments,own house,happiness,0,headaches is the only likely thing for a grumpy person to have
16699879d1f1b67f1664e78324cadd65,What do drugs do?,damage,cloud mind,lower i.q,cause illness,cause accidents,4,damage and illness can be considered accidents. cause and effect
a7c9d4f6be3bb973c4ebecb1e841b3ac,A beaver can destroy a machines functionality if they build their dam in this?,strip club,pocket,millpond,ontario,lake or river,2,"A dam is built on water, such as a river, that stops its flow"
9f84a7225b5da1e119ae54919f38ba79,"They decided to hash things out over drinks, after enough booze they were able to get close on a few things and what?",reach tentative agreement,suicide,examine thing,commit murder,stay in bed,0,that's the best option since that's where there are more roses
70a97a0079878b3a46080d00a4e118fb,Where could a fungus grow and not be disturbed by sunlight?,under rocks,manhattan,toenails,grocery store,fallen tree,0,the sunlight not to be reached under rocks
00dc6e53c3715d0050ffb78646cd6c7c,Can you name a good reason for attending school?,get smart,boredom,colds and flu,taking tests,spend time,0,People attend school to be educated and get smarter.
d829cc86312173f28b877987ae87fd7c,What state south of Kentucky and north of Alabama will you find people playing the fiddle?,alabama,tennessee,violin case,music store,bow and strings,1,Tennessee is one of the state which lies between south of Kentucky and north of Alabama
f75bb741497541837b92c4c2a113f5a4,What does sex often make happen in people?,making love,feel good,happyness,wonderful thing,cloud judgment,1,People often feel good when having sex.
5208880ea3b34d2de7ab59aedf499225,Where would you see people in uniform playing with a ball?,hole,television,sporting goods store,pool table,sporting event,4,Sport field is the only place you can see people in uniform playing with ball
21db09783c773fed677cd5ec3b71eecf,What kind of place could have a seafood restaurant?,new york,coastal cities,city,coastal cities,boston,2,A CITY PLACE HAVE A BEAUTIFUL SEAFOOD RESTAURANT
c59b184974e5f820763bd901a62a5473,"She needs to visit a bookshop after buying the latest fashion, where should she look?",student union,mall,department store,library,town or city,1,the only place that might have
58c3817107e323fdd7d70c4014990626,Where could you see an advertisement while reading news?,television,bus,email,web page,la ville,3,a lot of people read the news on a web page these days
a7be27a64aad72c029f05a2c7fc6d55f,What is required to be good at playing tennis?,tennis racket,skill,competition,tennis court,legs,1,Skill is what's most necessary to be great at tennis.
6122883c3b5cd10b59a29dbd582e19c8,What state is the John Davis  Lodge toll road found in?,new jersey,eastern united states,good repair,connecticut,arizona,3,Connecticut is the only place where the lodge is located specifically
5cc173999089fd11673252a58b8c0feb,"The man went to clown college, he had always want to run away with the what?",circus,carnival,surprise,spoons,party,0,"if you go to a clown college,  you will want to go with the circus"
d6503fc1f87e3e2caeb7bf8e16526e0f,James felt himself losing consciousness.  He was frightened.  He didn't want this.  He was scared of what?,death,coma,peace,forgetfulness,loss of life,0,He randomly started losing consciousness without any reason therefore he was scared he was going to die
1c16c914f3e9e99c678d6f1ec30194a8,"If someone is aloof and self-important, what is their experience when meeting people?",stress,nervousness,smile,being bored,making new friends,3,When someone is aloof they doesn't matter anyone else
a7b24b7ab7f0065c8688ee84d47899f1,"He was receiving workman's compensation, he had tripped over a metal rod while building where?",factory,construction site,engine,insides of skyscraper's walls,shops,1,tou can only trip over a rod at a construction site
e97a7b91a1ca85f362c42e04c983fc2a,John and James spent most of their time communicating with each other on their project.  The time required to communicate slowed their what?,static,train of thought.,progress,transfer of information,collaboration,2,Task 2:   Explanation: House is the only place that is not likely to sell a lantern.
bc07822ca1f8892b80d632b9c03e1187,When you play around with your dog they will have?,alive,health,fun,playing dead,black,2,"When you play, you play to have fun."
367a52860ea02568f014242ec1967d78,Where would a person keep a book while it's being read?,closet,library of congress,classroom,in bed,desk,4,Because you would be reading it at the desk.
ca9a3ccfb140aa66816f96ac983b6d9f,"The student needed to  get some new pencils, where did he go?",store,classroom,backpack,cabinet,teacher,0,Pencils are sold in stores.
591221f7cf4790253d19b08d9ea1f77e,"She loved buying products, she was driven by her what to shop more than any practical needs?",desire,money,time,credit,spending money,0,"You can be ""driven by desire"" to buy things, you can't be ""driven by time,"" or ""driven by money."""
cf9904211d9c602da9e41be0e3b24aff,How does getting paid feel?,income tax,satisfaction,sorrow,ocean,bill collectors to happy,1,The feeling accompanied with getting paid does not have any regards to sorrow or income tax.
ad3aa40dec688333dba0b88e325481ea,Where do bees congregate with red flowerS?,trash can,honey,bouquet of flowers,rose garden,field of flowers,3,A rose garden would be filled with living flowers full of pollen for bees.
1bca9774955d7e794a6e48ffcf95e728,What is someone who gets angry after getting drunk likely to participate in?,violence,falling down,vomiting,vomiting,lower standards,0,"While you are likely to fall down or lower your standards while drunk, only violence is related to getting angry."
68b13a7a996a07b8ea6731349d9348a4,"The teacher told all the students that listening was key, it was the main way they would gain what?",empathy,anxiety,knowlege,falling down,hear things,2,"To gain knowledge requires focus, which in turn means you're listening"
c12221a251d96e691753cfd3ac0b33c4,Stanley had a dream that was very vivid and scary. He had trouble telling it from what?,reality,imagination,dreamworker,nightmare,awake,0,"Dreams happen in one's sleep and are not real because they are in your head, therefore they are not reality."
042ce5d57aed06e6988c3739050fb1e4,WHat do cats get into when they are ripping things apart?,dog's mouth,floor,garage,trouble,nature,3,They destroy things and need to be disciplined
77a4a131e9083f6a4c70e8f88df54056,What is a good result of losing weight?,increased energy,healthier,loose skin,beauty,death,1,you want to improve your health
5f26970bd0b7b4a38f185aa5d5688717,A person lived in my what?,demonstration,conference,building,garage,mouth,3,"Person lives in garage, house villa etc."
8adc90ed047cb821793c84567a14d2e2,"The skin was cut while chopping onions, where was this skin likely cut?",good health,finger,meat,body,own family,1,The finger is the most likely to be cut with a knife as you hold it in your hand.
167c0dc61979a026ebeb721f9513bda2,What might you feel after doing housework for hours?,anger,not boredom,stress,boredom,anxiety,2,SHE FEEL AFTER DOING HOUSEWORK SO SHOULD HAVE STRESS
1cc14f6c9ae4435ddb4e4c520eee0065,"The accountant used a calculator regularly, he kept one at home and one at the what?",desk drawer,desktop,office,wristwatch,city hall,2,Office is the only other location in the list of answer choices. Desktop and wristwatch are both items.
49430bdae459f7368471e14391d0eeb1,At the end of your meal what will a waiter do?,serve food,eat,set table,serve meal,present bill,4,presenting a bill is the only option for the end of a meal
e63b2dd1db7e1bd707956a41d3d2a83c,"If you aren't glad, unhappy or gloomy, what illness may you have?",depressed,downcast,angry,unhappy,sorrowful,0,The opposite of depressed is glad.
b18afff8078a6baa334b8bfb21db8624,You can hear testimony of how spirituality changes lives when you do what?,go to church,appear in court,watch soap operas,paying attention,go into court,0,Church is where you will get spiritual
eefde762b9bf947d1c1b87fea4bbe6b4,Which region has the most famous temple?,jerusalem,jewish community,middle east,city,mosque,2,Only option that is a region
2a258ed37974c9226cbb32cfbf88d4f0,Where would you find a bee gathering pollen?,united states,sky,court,field of flowers,orchard,3,I consider it the best option because they have to be more true
308b1c17a0dc5273d442dba191789de7,Where would you put a folding chair if you do not plan to use it and you do not have any large doors in your house?,roof,school,beach,closet,garage,3,the folding chair in my house put in the closet by varranda
5f3357cd75e10f08d46195289d1a823d,"If you're speaking to a lawyer about getting a divorce, what relationship status are you trying to end?",being married,sisters,marriage,two people,lawyer,0,"Divorce is when you are trying to split up a marriage that is bounded by ""contract"""
8c157adc2027737cefb4ee0d6c9836d6,How do geese normally get from place to place?,carried by people,guard house,fly,follow ultralight airplane,group together,2,Geese are able to fly.
688772598f69066794067c48197a9ab2,John was punching and punching at the wall but succeeded only in bloodying his knuckles. This was bad.  He would be unable to hold his tools if he injured what?,hostility,anger,nose,fists,hands,4,hands of th esuccess
6874cbf68869d5482b719778f85b09a5,"Though it stayed strictly indoors, the small dog felt like it had all the space in the world in the what?",living room,dog park,basket,small apartment,big house,4,large houses have a lot of room
6741642ade99f46b6086e9468f327b49,"She was sick and staying in bed the day of the event, unfortunately this meant she was what?",resting,sleep more,bed sores,missing out,comfort,3,I consider it the best option because they have to be more true
c4dcfeacbbc2d365a6fc34d8811e4ed6,Where would a lizard surprise a person?,new mexico,forrest,dessert,garden,creek,3,"Lizards typically live in the desert, which is a large part of New Mexico. Finding a lizard in a garden where there is an abundance of water compared to a desert is surprising."
64ce22ee28a83119363b83a83de1ae92,"They were getting together for the big game, he wasn't hosting but made sure to bring pretty of food with him over to where?",picnic,friend's house,table,space shuttle,fairgrounds,1,People usually get together to watch games at a friend's house not the fairgrounds or a space shuttle.
46376ac886af06e85beac37f3391c357,Who is likely yo have a caring heart?,person,species,artichoke,all mammals,live animal,0,A person is the only human being capable of having a caring heart.
4bc34224aaa443baad6ccae86e11f3ab,"I'm looking for alcohol and fried foods, any suggestions?",pub,plane,beer,store,fraternity house,0,Pubs is the only public place on that list that sells alcohol and food.
9fd4737d024fb0d6a9f047bed295bddb,"If I had a jar which was likely to spoil if left out, where would I want to put it?",kitchen cupboard,pantry,grocery store,pantry,refrigerator,4,Cold storage or refrigeration prevents food spoilage.
2713983edc30c6391b9aa4ef2cb7ed79,Sam went to Paris where he ordered a blowfish at a sushi place.  Where was Sam?,books,france,fish market,atlantic ocean,cuba,1,sushi place to foriegn sing to songs
478a2734a41c208d54b79e165590c8d2,What will happen to skin pinched in something?,feel cold,feel pressure,feel bumpy,itches,feel clammy,1,might cause injury to
8f338dbffed1b6489297aeeace0e6388,"Sally lost her kite because she wasn't careful.  She thought that there was more string on the spool, but it slipped out of her fingers when she reached the what?.",child's hand,the last straw,hobby shop,end of line,toy store,3,"If there is no more line in the spool, she can't reach for it anymore."
a74b9266de3c155863231cc6eae36dce,Where would there be many people sitting in chair and listening to religious speech?,auditorium,office,synagogue,confession,church,2,Synagogues are where some people go to listen to religious speeh
78cc94259c69fe5860663cfb709e12d0,Where is a tabby cat likely to be happiest?,box,home,alley,lap,barn,3,"cats love to sit in laps, so it makes sense that they would be happy there."
0207126210b7d3c65da2f62b175e0e99,East coast areas such as Florida are found where?,florida,denmark,united states,map,california,2,Florida is a state in the USA
75ca0cb4e5e4ff188fcf7aa2c8af58fb,"To learn must have the right book, to work efficiently what must one have?",improve yourself,become knowledgeable,have tools,persistence,have more knowledge,2,the best way to get a job done is using tools
86ca5b66f3edd3ba38f117dd2c2cc1b2,There weren't potatoes but actually a snake in his what?,burlap sack,hot country,purse,pet shops,deep grass,0,"A burlap sack is usually for potatoes, so it would be surprising and unusual for there to be a snake in one."
3c4726ed93e78b8c9ed9ff4ac444a62f,What could listening to music cause you to be?,happy,smile,calm,entertainment,relaxation,2,Music has a calming effect on people.
aa55b7f6b2b2c627ea7d95b621a0ffbf,"If you want to make a big splash in a river with a rock, from where should you throw it?",mountains countryside,ground,bridge,mountain range,surface of earth,2,A bridge is most likely the highest place you could get while being near water.
5b31de5a0506985dea62030485e9c3c3,What is committing perjury likely to lead to?,shame,arrest,embarrassment,go to jail,tension,1,Nothing says 'please take me to jail' like lying in court.
9a2a94207d01eae356a632638c708505,"The new play was the go to performance of the year, all the crowds would stand and what?",admiration,applaud,make reservations,experience,sleep,1,If the performance is a crowd favorite then the crowd will applaud when it's done .
6b819727eb8a670df26a7ffad036c119,"""There are 10 apples on an apple tree.  Three fall off.  Now there are X apples.""  What is this an example of?",park,coloring book,garden center,math problem,gravity,3,Subtracting apples is an example of a math problem.
bb7e95200163d56ff217cba6eae470c8,Where are people likely to find food?,opera,supermarket,building,conference,apartment,1,Super market is where any person come and find food as its intended to food display for sale. Where apartment any person cannot come and find food.
e1c1e59bef82df97789fb74211588d25,What might a kid do with his friend before going to play?,laugh,sit,being entertained,math,meet,4,You meet your friend before you play with them.
b050548eda5c0aa847542a5e5f2226ea,What is a person who is well educated?,illiterate,knowledgable,own house,have enough food,meet expectations,1,A and B have nothing to do with knowledge
5fed6d8e79458a77fafccc77c5430166,"Ben was an alcoholic and was in an accident.  Because of his mistake, he spent 8 years somewhere. Where was he?",prison,bridge,locked up,homeless shelter,neighbor's house,0,it sounds like Ben was responsible for his accident due to his drinking
4840397382c65294f9f1505cd5845799,Where do you buy tickets at a ticket booth for games/,train station,cathedral,metro station,fairgrounds,amusement park,3,Fairgrounds are the most likely place to buy tickets for games from a booth.
98f268fe3f6603dffd1ef3720e612adf,A soccer field that is not contained in a building would be where?,playground,mexico,town,outside,world cup,3,A SOCCER FIELD THAT IS NOT CONTAINED IN A OUTSIDE BUILDING
1958f3bf80c4515629f0d342c540c0b8,Letters are sometimes delivered by hand through one of these.,mail box,suitcase,front door,bowl,post office,2,front door  Letters are sometimes delivered by hand through one of these.
d227f28c9490843fb225fcf4c7904ba9,"If somebody likes temperatures cool, they might have more than one electric fan where?",home,hardware store,home,hot room,office,0,A home is a big enough space for more than one fan.
b2c3a4d4c013ec6251bcfd92f35063d6,"Sky diving scared him, once they jumped out of the plane he began losing consciousness while what?",injury,death,playing uno,coma,falling down,4,"When you jump out of a plane, you are falling down."
3667955cd4a7b8af3f2ed35747eea857,"The president had to make a decision regarding the hate attack on his country, what did he do?",wage war,fight enemy,kill,destroy enemy,attacked his country,0,A decision regarding hate may result in war.
8f94e2afc2456142d50a8e76bb4f2ba7,What's it called when you have seen something through an eyepiece?,sights,optical illusion,optical telescope,light microscope,binocular,0,Sights are the only things that people attempt to view when using eyepieces; it doesn't make sense to look through an eyepiece to see another type of magnifying device.
126fcd9a539ac8237f82863df295108e,What is a good result of jogging?,insect repellent,heart attacks,improved health,shin splints,being tired,2,People experience good side effects like improved health when they start jogging
b629881148db7b32eed4d225fedf7c31,What is done to wood to attach something to it?,nailed,carved,polished,eat cake,petrify,0,a nail can attach something to the wood
f35128ce82c006de5f73efdd0f9cca06,Where is a fox likely to be caught?,tennessee,inside joke,grassy field,the forrest,england,2,is the option closest to the question
e5a694ab7333ea27a942613d248b732a,Where do you put a new dining table?,cafeteria,arranging papers,in the park,formal dining room,house,4,"normally you buy a dining table for the home,"
c330780e3e855a5b2bd730b9a3997c5c,"Sometimes fighting inflation isn't even what, because it is so negligible?",economic instability,not noticeable,spend more,rising interest rates,boring,1,Negligible means not noticeable.
fa01c3b02ef685da10246088861f8e1b,What is likely to have more than one level in a city?,carpenter's shop,video game,garage,total number,building,2,Cities are congested and there are more cars to be accommodated
4c0253d32a773f66cd70cc19cec89f80,Where is likely to have a lot of fire extinguishers?,garage,hospital,boat,house,doll house,1,A hospital is the biggest place listed
f135ec42b0fa32dfcbf41e8af1fa9476,Where would someone learn to play an upright piano?,music room,music store,music class,medium,house,2,"Music class is where someone can learn to play an upright piano,since learning needs guiding so music lass is best place"
7c22c55993fccd4c7d3c4d1f97bfff7e,What is necessary for learning by yourself?,exposure,patience,study,cooperation,thought,2,Studying is how you learn new things.
8e455fecd2912108d741759ebc26183e,Who is likely going in to a market?,stress,food,that you,spending money,walking,2,I think tomorrow will meet
640fa2a025a73dc0087c55a397b339d9,What is a characteristic of thin glass?,break easily,shattering,melt,bend,hold water,0,Thin glass breaks easily
441fe2061e792c3df4f60a0dc41766e2,What do you get for not moving your car during the required time?,towed,accidents,driving,getting tired,ticket,4,If you don't move your car you get a ticket.
02c5b92d97670cdd5fbf7a1f697fbff8,"Bob's feet hurt from running barefoot on the hot pavement.  I lost his shoes, didn't know where they landed, and had to run from the corner store to his home.  About where did he run?",a bed of nails,town,attractive consistent look,city block,ground,3,Corner store implies the corner of a block
d4fc07e02f2bc0492f67eb96af10538b,Where would you be able to hear a bassoon played in an unpleasing fashion?,orchestra,baritone woodwind sound,symphony,play music,high school band,4,A high school band would be comprised of musicians still learning their instruments. A Symphony or Orchestra would be comprised of musicians who have mastered their instruments.
6efacba15f0cd3ff31915405875895f8,John loved competing because he was very competitive.  He liked being about to divide people into what categories?,winners and losers,perform better,might win,losses,enemies,0,Winners and losers is the only answer that provides two categories that people can be sorted into.
9b54283999001e13a8a43d3e2a1c392b,The game was on sale.  I got it then because it was usually what?,buying,purchase,overpriced,way to much,expensive,4,"They got the game because its usually expensive, but it was on sale"
5f1b5f7b8cba3d315e96435bb4720135,Where could a printer be used by thousands of people?,school,home office,people store,print shop,newspaper office,0,A home office would not contain a thousand people.
dff0e9959fcbbe48b43e62156248a553,What could prevent someone from buying chistmas presents?,happiness,lack of money,stress,relief,exhiliration,1,"Only lack of money is applicable in the question, because he doesn't have any to spend."
e539f3d55509e93558373042bb1e3ed4,What is the hope of playing sports without competition?,running,have fun,balls touch,winning,get tired,1,lack of competition would be just playing for the fun of it
e99da2b1d9ec4be89c2b42407aa5a15f,What could you add a line to?,bus stop,graph,post office,grass,play,1,"bus stop and post office are 3 dimensional, lines are 2 dimensional"
586f0c1a627e0199a2e07b77e729f4dc,Joe bought a ficus.  He thought it would look good in what part of his home?,family room,tropical forest,flower garden,movie theater,hair salon,0,ficus is a common house plant.
ab6872dabd0cc54c55200282e19294f4,"Sarah wanted to by a new rug.  Ink spilled onto her old one.  Really, she didn't know what that thing had an inkwell in the first place.  What piece of furniture might have been on her run?",front of door,bedroom,desk,table,living room,2,only a desk would have a inkewell
901dc43313a51b67a0bdff75b4415a49,"When people discover something new while chatting with friends, why are they likely to continue talking?",agreement,to fill their time,discomfort,misunderstanding,learning about,4,Discovery is a form of curiosity where people tend to want to learn more.
45f0c751b90321956f1f1fb67f33f5c4,How can one's views change after learning about science?,appreciation of nature,become educated,excitement,increased knowledge,see things differently,4,Science opens your eyes
aa3ad08cfe609df6c1024ad7a0665d94,"Traveling underwater has many dangers, such as low visibility causing what?",disorientation,due to,meeting new people,getting somewhere,relocation,0,the condition of having lost one's sense of direction.
4c71b0e5cbd0f9fcc0c4086c49552c65,Where are people likely to stand at an intersection?,cars,city street,street corner,fork in road,at a red light,2,Street corner is a more common place for people to stand at an intersection.
6f18c3f29d65c51e1f4a79cc291b8a96,Janet knew she was dying from her injuries because she could feel herself doing what?,sleeping longer,getting cold,death and decay,change of color,stop breathing,1,She would not be able to feel the other selections as she would already be dead.
442dd2d372228b9942f55d761ef961a3,Where are there more telephone booths?,gas stations,city,london,train station,airport,1,"telephone booths are found all over cities, with some having more than even London."
8e3dfa1aa4cee48a75da9fcb203e754f,"James complained that Alexa's electric guitar was too loud and he couldn't get any work done at home,  so she decided that she should get an acoustic guitar.  Where might she look for one?",house,music shop,studio,storage,closet,1,the only logical place to purchase a musical instrument
585a194bba23870f6a636068f081de00,What can someone feeling happiness fall into?,lead to laughter,love,laughter,smiles,tears,1,"You wouldn't fall into tears if you were happy, and you might laugh, but falling into laughter doesn't make a lot of sense. You fall in love, and usually when happy."
7851102d9fb1010792e4860dfd408f59,What would happen to a person if his or her money is stolen?,complete sentence,feel angry,drink tea,cross street,park,1,"when your money has been sloten by someone who hasn´t worked for it, you´ll be extremely angry."
304200a3cd10da12a92022893f0fe3fc,"The people in class were instructed to brainstorm ideas, how would they use their minds for this?",shake hands,control events,talk to each other,think creatively,dress themselves,3,brain stoming is a way of thinking you cant contol events or dress as a group
2ac67ce590944ea9c5ee1dd41a721c56,Someone lacking immortality will one day be?,kick the bucket,mortal,dead,can die,dying,2,the closest and most accurate option
a378255dfaa7c238d1c258084726c899,"After his mother saw his report card he knew he was going to be doing housework, what could have prevented this?",sneezing,fatigue,house clean,feeling satisfied,getting good grades,4,Report cards are where grades are reported.
93cdaa3a2af5822034be244004277fa3,Glass that hasn't been treated to be extra strong is what?,weak,fragile,forceless,regular,flimsy,1,the opposite of strong glass is fragile.
c70ff170a6f133cad91ea2d9dfc4ce0d,What enables most people to transport themselves?,helicopter,own cars,speak words,believe in god,dance together,1,"Transport suggests transportation, which is typically associated with vehicles."
0077e331c0a3d611c0d8ad367783f2ef,What do people in the same family often share?,brown hair,names,two eyes,will,brains,1,Name is most logical and likely option of what a family often shares.
be8a6042c28c545dc971b4340b675365,What is an area with no grass where I can get things to sell at a roadside stand?,surface of earth,rest area,supermarket,state park,garden,4,In garden no grass sell at a roadside stand
5eae9a162af2fd897c50ed1883a3809a,Where must one wear a white shoe?,wedding,tennis,closet,left foot,house,0,A wedding is a perfect ocasion to wear white shoes.
27fece3289aea6b667d3f2f3402327f8,"James chose to not to print the cards, because he wanted to be more personal. What type of cards did he choose, instead?",cursive writing,hand writing,store bought,online media,hand written,4,is the best since it is the best backup
35c3f9787f43626188837159ca86c8f2,"They checked the weather one more time during the flight, they were on their way to paradise and wanted it to what?",look beautiful,be happy,change quickly,occur here,surprise us,0,Paradise is usually considered to look very beautiful for most people.
5a55a24206cf1e342afde7991c6b0b76,What are you hoping to achieve when talking to someone?,communicating with others,hurt feelings,dry mouth,intimacy,changing behavior,0,Talking is a form of communication with others.
278aa323f2f0790e40716b6bd5dbed91,What can go on a football field?,oklahoma,university,college campus,players,yard,3,Players are the only thing that go on a football field.
a76971c0fa4f8d0e32fcaf1298367c62,What has a master of their craft done about that craft?,drill,committed murder most vile,bargemaster,learn,understand,3,In order to master something you have to learn about it
946ba9d7088272f0a81647ac1c347d03,"He was in a cabin in the woods, through the window he saw a fox where?",indiana,england,outside,on the wall,picture,2,"If he was inside a cabin and looking out, the fox could not have been inside, nor was it likely to be a picture of a fox."
6aa6caa33c91e2a08bc2e18a1d4da225,"The hippy wanted peace with all humans, he had strong what for them all?",names,words,naval,bladders,feelings,4,Hippy was wanted a peace in all nature and humans
