id,question,choice_0,choice_1,choice_2,choice_3,choice_4,label,human_expl_open-ended,nle,max_shap_value
f8566a5f5df2010077f5ce3a106285c3,What do you need to make sure that you are at night while driving?,car,vehicle,distraction,being awake,napping,3,"If you are driving, it is imperative that you are awake.","To ensure that you are safe while driving at night, it is important to remain awake and aware of your surroundings. Make sure your vehicle is in good condition, check the weather forecast, and plan your route in advance. Avoid using a mobile device, and if you must, limit its use to only when necessary. Make sure to keep your vehicle in a secure area and lock the door with the key.",0.5145807336084545
967806cbcdb6003f0498ec56d6c93a73,"When the man was preparing for having a bath, what did he look for in the water?",being clear,get wet,bathing soap,will drown,personal cleanliness,0,"You can't look for ""will drown"" and personal cleanliness isn't in the water",The man was looking for water that was clear and would not cause any harm to himself or others.  He was probably looking for something like a glass of water or a bucket of water.,0.2808469187002629
709b7409a228e6778568d1f8bd77e3eb,If you're going on vacation and you leave your tickets at home what might you experience when you get to the airport?,debt,peace,panic,laugh,having fun,2,"A vacation, or holiday, is a leave of absence from a regular occupation, or a specific trip or journey, usually for the purpose of recreation or tourism. People often ...","When you leave your tickets at home, you may experience a panic when you get to the airport due to the lack of control over your situation.  It is better to keep your tickets with you in case you need to access them quickly.",0.1750699119293131
50b3a60ba20ff714ee0a0fac321437f8,Where is an expressway unlikely to be found?,ocean,map,canada,large city,country,4,the choice is uncommon and too vague compared to the others,"An expressway is typically found in large cities, where the speed of traffic is high and there is a need for quick travel.  It is not uncommon to find expressways in oceans either, as they are often used to provide quick and efficient access to locations with high traffic.  In Canada, expressways are mostly found in large cities, and the country does not have many expressways of its own.",0.052298234892077744
94880c51bdc2254f19cc5f7becea03fe,Where is dust likely to be under?,closet,ground,windowsill,attic,carpet,4,dust falls and would father under a carpet,"Dust is likely to be found on the floor in a closet, ground, or attic.",0.3214913692791015
e428fe9389eeb9654865a50cbf263e69,James sat in a chair and listened to the speaker.  Where might James be?,synagogue,grocery store,auditorium,confession,office,2,People often give lectures and speeches in auditoriums where people listen to them,"James could be in an auditorium for a variety of reasons, such as attending a performance, having a meeting, or preparing for an upcoming exam.  He could also be in a different room of the same building, such as a conference room or a library.  It is also possible that James could be in a different city or country, such as in Europe or Japan.",0.2458517934428528
812c92acabaad51ca85183ca97602ed5,"Sam didn't want to do it because he felt that it was nonessential.  But Joe insisted, because he believed that it was what?",mandatory,essential,necessary,needed,required,2,Joe believed it was necessary.,"Joe felt that Sam's refusal to do the task was due to a lack of commitment, and so he took it upon himself to complete the task in Sam's place.  It was essential that Sam did the task in order for Joe to succeed.",0.3172244871966541
bb3202c8816a1501827175261acd8f8d,What is a performance by actors on tv to promote buying a certain product?,newspaper,show,theatre,movie,commercial,4,generally they are trying to sell you something,"A performance by an actor in a commercial to promote a certain product will likely involve acting out a scene from the product's advertisement, demonstrating the features and benefits of the product to the audience. This type of performance is designed to make the audience laugh and/or fall for the product. It is typically done in a comedic manner to draw attention to the product and its features.  Commercials often use humor and exaggeration to make a point about the product and its features. This type of performance is a great way to get the audience to pay attention to the product and its features.  It can also be used to create a memorable impression of the product that viewers may not have heard before.  Overall, a performance like this can be a great way to get people to buy the product.",0.014528356841765344
a30d255aba2d1a7f71ae8491c9b792df,What gas vehicle uses a chain to move the back wheel?,gear shift,bicycle,car,tow truck,motorbike,4,A bicycle does not use gas and a tow truck has rims,"A chain can be used in a gear shift, bicycle, or car, but not in a tow truck or motorbike.",0.3702810425311327
9d5e25c966ea2b9934b984a8ac47ab62,"He had won big, it was time to cash in and get some bubbly and do what?",invest,party,celebrate,happiness,get money,2,"he already got the money, and you don't do happiness; you would celebrate after winning","Winning big and cashing in are both opportunities to celebrate, rather than invest or party.  This is because winning big typically means that the player has achieved something remarkable, and cashing in means that the player has won their share of the prize money or assets.  Therefore, celebrating with friends and family, or taking the time to savor the moment, is the best option.  Furthermore, winning big or cashing in can also mean that the player is in a better financial position to enjoy their win.  This is why it is important to consider both the short-term and long-term benefits of winning big.   In the end, winning big or cashing in can provide the player with the opportunity to enjoy themselves and their accomplishment.",0.20952711667632684
714a6e0a82135b666d92ab5e7912d4b9,Where are light bulbs frequently found?,basement,house,theatre,room,lamp,3,People are most frequently in rooms with light bulbs.  Most people are not frequently in theaters and some don't own lamps.,"Light bulbs are commonly found in the kitchen, living room, bedrooms, and bathrooms.  They are also often used in hallways, garages, and outdoor areas.",0.013784126553218812
5930041ee4a551cecd1c1f446ff5e60d,"The family TV personality was dressed as a weasel, and he began to play a what?",children's song,washington d.c,chicken coop,dead,used car lot,0,washington dc and used car lot are places not things that are played,"The family TV personality was dressed as a weasel, and he began to play a children's song.",0.17588729038834572
586f7bbd8782124719f6413c785e4756,Contemplating a concept can lead to what?,revelations,action,understanding,discovery,wisdom,2,thinking about something allows you to get to know more about the topic,"Contemplating a concept can lead to understanding, insight, and discovery. ",0.17792908288538456
87dacbf76af9c335c77561c6ffe163dc,What is it called when life has an end date?,finite,over,good,important,ending soon,0,an end indicates that something caanot be finite,"Life has an end date when it reaches a point where it can no longer continue. This is usually marked by a decrease in activity, growth, or both. The ending date can be seen as a culmination of events or a final chapter in life.",0.0
ac4c7565e8051c9194cb57496c8ec4cc,Sally bought bubblegum. Where might she have gotten it?,supermarket,theater,street,pocket,church,0,Bubble gum is bought at the supermarket.,Sally bought the bubblegum from a supermarket.,0.04001000367861707
d829cc86312173f28b877987ae87fd7c,What state south of Kentucky and north of Alabama will you find people playing the fiddle?,alabama,tennessee,violin case,music store,bow and strings,1,Tennessee is one of the state which lies between south of Kentucky and north of Alabama,"The state of Tennessee is located south of Kentucky and north of Alabama.  It is home to many fiddlers who play their instruments in the traditional manner.  The most famous of these fiddlers is probably Johnny Cash.  Tennessee is also home to many music stores where one can purchase music instruments and recordings.  Additionally, many toy stores offer instruments and recordings as well.",0.1757418198394589
891129f2bdcb62c3680c2c7646dbff06,"Every Monday morning he would meet friend, they would have coffee and a good what?",say'hi,have sex,conversation,handshake,train,2,"when you meet a friend for coffee you talk, you don't have sex and a handshake is too impersonal",Having coffee with a friend every Monday morning and having a good conversation is what Joe is looking for in his day.,0.0909436832589563
5fafc289cb7a189a4ddcbaf6e0f63bff,Where could you put a clock on the floor?,shelf,on the hand,own bedroom,wall,department store,2,because you already have  a place to hang it but not a room to do so,A clock can be placed on the floor in a bedroom.,0.1604788718977943
45d0ea781ffd49b07d6eae94d47a8945,"A bug was looking for wildflowers and no human interruption, where did he go?",garden,meadow,bug zapper,rug,rock,1,"Wildflowers don't grow on a rock, and a garden is tended by humans","The bug was looking for wildflowers in a place where there would be no human interruption, so it went to a meadow.",0.27063463535159826
fa161e66c128d06806813f18b7aaadda,What does a chicken do in a joke?,produce eggs,lay eggs,become food,cross road,looks for cars,3,How can you drop an egg six feet without breaking it,A chicken will look for cars if it needs to cross the road.  It may also lay eggs in this situation.,0.4403836652636528
e539f3d55509e93558373042bb1e3ed4,What is the hope of playing sports without competition?,running,have fun,balls touch,winning,get tired,1,lack of competition would be just playing for the fun of it,"Playing sports without competition can help to improve one\u2019s skills and enjoyments without the stress of competing.  It can also help to build friendships and team spirit.  Sports can also provide an opportunity to meet new people and form new relationships.  Ultimately, playing sports without competition can provide an individual with the opportunity to learn, grow, and have fun.",0.26754009013529867
d7b55b297a01e7e7d9cf2d41e974538a,Where do you eat most of your food?,in a bowl,home,freezer,kitchen,store,1,Most food is consumed in one's home.,Eating most of your food in a bowl means that you are preparing it in a way that allows you to easily access and enjoy it.  Freezing it means that you are storing it in a convenient and accessible place. Eating it from the freezer means that you are able to defrost it quickly and easily. Storing it in the kitchen means that it will be close to where you are cooking. Eating it from the store means that you are able to purchase it in a convenient and accessible location.,0.03354768899225746
f21af98de95eea52f86cabae99895465,Where would you play basketball outside?,scoring,sporting goods store,park,dribbling,gymnasium,2,"Only a park is outside, not a sporting goods store or a gymnasium.","Playing basketball outdoors would be played in a park.  This could be a backyard, a street court, or a court within a larger facility such as a gymnasium.",0.3502091057598591
c030df101ca47012f6d124dc00dea36f,What does a child want to do after school?,wave goodbye,play video games,ask many questions,clean street,become adult,1,Most kids enjoy playing video games after school.,A child wants to play video games after school.,0.493448075838387
5c9736d5a003b31456d47a2466bca6c9,Reaching advantage position in a competitin puts me in what position as compared to others?,determination,upper hand,superior,higher position,skill,2,advantage means better than hence it is superior,"Being in a superior position gives you the advantage over others. This can be seen in sports such as football, where the team in the superior position usually has the upper hand and is able to score more points. In chess, the player in the superior position can choose when to attack and defend, as well as create a plan of action based on the opponent\u2019s moves. Being in a superior position also gives you the ability to act as a deterrent to your opponent, as you can threaten them with a retaliation attack if they continue to move in a way that is not advantageous for them.  Being in a higher position also gives you the ability to observe your opponent and create a better understanding of their moves, which can help you create a more effective plan of action.  Additionally, it can be advantageous to take a break from the game and refresh your mind, as being in a higher position can help you gain focus and a renewed sense of enthusiasm.  Ultimately, being in a superior position gives you the advantage over others.",0.32898595044389367
263b302e030716180044f423c7f32971,What time period did mammoth's live in?,ancient times,museum exhibit,museum of natural history,prehistoric times,prehistory,3,"The only time period presented here is ""prehistoric times,"" so that must be the appropriate choice.","Mammoths lived in prehistoric times, which began around 55,000 years ago.",0.4603500021621585
5acfc29dbd10f8c89bd37c2480000e0a,"Running is great cardio for working out the heart, but the regular muscles it targets are in the what?",thighs,legs,movement,use of muscles,agility,1,When you are running you are using your legs.,"Running is great cardio for working out the heart because it targets the legs, which are used for running and other forms of locomotion.",0.12220149484346621
a87a27e3f227458dfba43699f70c6b30,"A person who found something odd, may have found it odd because it wasn't what?",even,common,expected,happening,habitual,2,If it was expected then they would have not found it odd,"Odd things happen sometimes, and it is not always what one might expect. ",0.3584580858005211
22ad1853c8fa6e5594ac2e56575c847b,You might hear someone say árbol de manzana instead of apple tree where?,spain,bible,ohio,montreal,washington state,0,De Manzana is a Spanish term which is the language in Spain.,"árbol de manzana is a type of tree found in the tropical regions of South America and Africa. It is also known as the manzana tree due to its large, sweet fruits.",0.08553123213641811
b512b2d855b4d04b81e83359e9bb4efa,Where do you throw a ball down the lane?,city,basketball court,rural countryside,highway,bowling alley,4,A bowling alley is the only choice of the 3 where you will not risk injury from a vehicle.,"A bowling alley is a good place to throw a ball because it is a secure, enclosed area where balls can be safely stored and retrieved.  It is also a great option for those days when you don't have time to go to a gym or don't want to play outdoors.  Bowling alleys can be found in many cities and towns, or you can look online for a nearby one.",0.029182626138208434
a4e97402262d652671f2ad50ce5e02bc,Where would you buy wearable gold?,church,treasure chest,jewelry store,zoo,fort knox,2,Jewelry stores have wearable gold for sale.,"Wearable gold can be bought at jewelry stores, such as those listed in the choices.  These stores can offer gold jewelry that is both affordable and stylish.",0.037146158632822335
b18afff8078a6baa334b8bfb21db8624,You can hear testimony of how spirituality changes lives when you do what?,go to church,appear in court,watch soap operas,paying attention,go into court,0,Church is where you will get spiritual,"Spiritualism encourages people to seek out the presence of God in their lives through prayer, meditation and seeking out spiritual guidance.  It can also lead to an increased awareness of the presence of God in the world and can help people become more accepting and tolerant of different beliefs.  Additionally, spiritualism can help people find peace in difficult times and provide a sense of hope and purpose in life.  By going to church, one can find a community of like-minded people and can learn from their experiences as well as gain spiritual guidance.",0.11568351311143488
851e1685b0afc783b51f9cc2e1596efe,"After getting high his memory seemed shot, he felt practically what?",dead,forgotten,brainless,forgetting,forgetfulness,2,without being able to remember things ones brain does not work very well,"After getting high his memory seemed shot, he felt practically brainless, meaning he was unable to think or make decisions.",0.4617363994475454
f3b890b3f876b9e13f7fc5f84f6c9611,Seeing the desired results of doing housework left her what?,smiley,house clean,getting good grades,feeling satisfied,boredom,3,holds items for organization,Seeing the desired results of doing housework left her feeling satisfied and fulfilled.,0.5555374436080456
17ed234e4b66aea7b7e04660ba8d5bd2,"The car had its turn signal one, where was it stopped?",neighbor's house,in phoenix,repair shop,sidewalk,street corner,4,Vehicles will only turn on a turn signal when approaching roads that fork off the one they're at on corners.,The car was stopped at the corner of the street.,0.3409016493242234
a3481e242805fce680e24e67105fa109,What item is smelted out of minerals on the country side?,urban city,france,metal,grass,state,2,"A metal is a material that, when freshly prepared, polished, or fractured, shows a lustrous appearance, and conducts electricity and heat relatively well. Metals ...",France is smelted out of minerals in the form of metal.,0.1527847014949657
f45e519948e9cd6b443574a011c9e4ca,How do you communicate with a friend when you are apart?,promise to help,offer to help,write letter,keep secret,cover up for,2,Writing a letter is the only means of communicating with someone who is not in the same place as you.,Writing a letter is one of the best ways to communicate with a friend when you are apart. It will let you stay connected and express your feelings. ,0.15129815333057195
3e260f069835ed74f4d2b5badfd1ac87,How does a cat usually sleep?,soft place,urban settlement,standing up,relaxed position,backyard,3,A cat will usually find the most comfortable and relaxing position to sleep.,"A cat can usually sleep in a variety of positions, including soft places such as a bed, a couch, or a rug; in urban settlements, such as alleyways, trees, or buildings; and standing up, such as on a windowsill or counter. A cat may also sleep in the backyard, or in a garden or other outdoor area.",0.31855971238110214
a66424b2b692bca0dc2ce0e4e85d43e7,How can a bridge be built?,river valley,softly,over water,california,dentist,2,Bridges are typically built over water,"A bridge can be built over water by using a series of piers, columns, and abutments constructed of concrete and steel. The bridge will then be supported by piers and columns extending out from the shoreline.",0.4160633450374007
8010718666c52a2aa5c3fb0a0706c1ac,Where could I eat a chocolate cake?,mouth,restaurant,supermarket,school,box,1,"You could buy a cake from a supermarket, but it wouldn't be appropriate to eat it in there. It is appropriate to eat food in a restaurant.",You can eat a chocolate cake in a restaurant.,0.6611524980980903
4850bf8b6b309548ef623d5592ffbca2,What does playing soccer for a long time lead to?,excitement,fatigue,anger,hurting,getting tired,4,"The other two things could happen, but are not dependent on it being a long time.","Playing soccer for a long time can lead to an increase in fatigue and anger. This is because the physical demands of the game become increasingly difficult as the game progresses, making it harder to maintain focus and energy.",0.3181899508635979
1f0724c374b6c96bf506d4497fe7f1a0,Where is a microphone boom likely to be covering a stock market event?,new york,concert,tv studio,gig,recording studio,0,new york is a microphone boom likely to be covering a stock market event,A microphone boom is likely to be covering a stock market event in the New York Stock Exchange.,0.14665166271151975
378ff97eb34f848bb63db058e6213ca7,What is the place teenagers hate to go to most but have the most incentive to attend?,fast food restaurant,mall,high school,job,nightclub,2,The only place that almost all teenagers hate to go is high school. It's the only place they would consider as boring and not fun.,"Teenagers have the most incentive to attend high school, as it is the only place they can legally be without their parents. Additionally, the educational environment at high school is often more conducive to their social and emotional growth than any other environment.",0.1167341941036284
079f7cc28a641d1608eaa72679064035,"Some envy children's bliss, meanwhile some children wish they were what so they could do anything they want?",old people,parents,the president,grown ups,play with toys,3,The other two groups can't do anything they want,"Envy is the feeling of being jealous of others, while greed is the desire to have more of something than one deserves.  Parents and the president are both examples of grown ups who envy children's bliss.  Both are frustrated with the lack of control they have over their lives and wish they could do anything they wanted.  However, only the president is able to take action and make changes to their life.  Parents may be able to provide more support and guidance, while the old people may be able to offer more wisdom and advice.",0.34857659123372287
094ea0c02e961d8542783a619c4e7ab1,Something that holds food or other items is called what?,container,kitchen,backpack,jar,bowl,0,"A container is any receptacle or enclosure for holding a product used in storage, packaging, and shipping","A container is something that holds food or other items.  It can be a kitchen container, a backpack, a jar, or a bowl.  All of these items can be used to store food or other items when they are not being used.",0.2810716852545738
ab46e7658ba34d3f41952010f11a0d3e,What method of transportation uses air to float?,surface of earth,supermarket,train station,space shuttle,balloon,4,A balloon uses air or helium to rise into the air and remains there until the air is lost or let out.,"A balloon is a method of transportation that uses air to float.  It is typically used to travel long distances and cover short distances quickly.  The balloon is inflated and then attached to a string or rope, which is then attached to a fixed object such as a tree or post.  When the balloon is full, the string or rope is released, and the balloon descends to the ground.",0.23187267710454762
3600b955a0e914dc0ca7ce58faadefa3,"If I wanted to look at a drum, where would I go?",symphony orchestra,child's room,music store,rock band,parade,2,"To physically look at a drum and perhaps play it, one must go to a music store.", You could go to a music store to look at drums. The store would have a variety of different drums in different styles and prices. You could also look online at websites such as Craigslist to find more information and reviews on different drums.,0.03184897844585066
2cc926adf001ef50c3d8d47c54b91054,Where is a pleasure garden likely to have orginated?,fairy tale,resort town,english courtyard,palace,japan,4,Japans have pleasure gardens,"A pleasure garden is likely to have originated in Japan, as it is known for its beautiful landscapes and serene atmosphere.  It may have been inspired by the Japanese Tea Garden or the Sencha-ji Temple.  The design of the garden is likely to have been influenced by the philosophy of the temple and the natural beauty of the Japanese countryside.  Visitors to the garden can enjoy a peaceful atmosphere, beautiful scenery, and delicious food.",0.1723897221381776
87c78b931c226ebbd102323693d61428,If a person is tired how can they be refreshed?,rest in bed,lie in bed,go for a run,water plants,catch cold,0,"When you are tired, the best thing to do is to sleep, preferably in the bed.","Going for a restful sleep and getting up early can help a person be refreshed. Resting in bed would be the most direct way to refresh yourself, while getting up early would give you more time to start your day calmly and give yourself time to relax and recharge. ",0.12233739650400821
165651edc44863ae9ba9f289cfcb61e7,"If I am in the southern United States eating crab, where am I likely?",south carolina,louisiana,new england,maine,chesapeake bay,0,South Carolina is a southern state that is known for crab,You are most likely in South Carolina if you are eating crab.,0.25369692826643586
ebd0b7023c8133b3c1e7e3887072253a,James was a senior. He was looking forward to talking a year off once he was finished.  Where might James be?,highschool or college,high school or college,ball stopped,republican party,old people's home,1,Senior here refers to the last year of either high school or college.,"James might be at a high school or college campus, or he could be at a local community center or recreation center.  He could also be at a restaurant or bar, or he could be at home in his own bed.  It is impossible to tell from the given context what James is doing.",0.15371493686689064
60081e8b4cba0530048f4a8c26e85eb1,A shelf would fit in what part of a room?,garage,cupboard,refrigerator,corner,wall,3,This is the only logical place to put a shelf,A shelf can fit in a corner of a room.,0.1748384372331202
7659f9fdc67be37beb57ec9463556e0b,What kind of building has many a book written in Hebrew?,library,classroom,library of congress,suitcase,synagogue,4,"Hebrew is associated with Jewish people, who worship in Synagogues.","A synagogue is a place where people can come together to practice Judaism and learn about the Jewish faith. It is typically a place where people can find religious books, services, and resources.",0.14689554501092061
c1b0927c544911824e9bb6d2e764545f,What could you see from a courtyard?,a three headed dragon named ralph,asshole,lawn,versailles,spain,2,Lawn is the only thing that i could see from a courtyard.,You could see the courtyard from the lawn.,0.10460167832206935
12da6d9e8fd4da292e72cd6cc6d18959,"Washing clothes at the laundromat was time consuming, most people waited and would do what?",time,singing,getting wet,socks,watch tv,4,Laundromats typically have tvs.,People typically spend more time watching television than any other activity.,0.3254909918177873
e45334327b6242ee9e4d66ff421c0cf3,What type of area would you be entering if dressed in a suit when putting your car in a parking lot?,urban area,amusement park,house,business district,shopping center,3,"Business people wear suits, so they would most likely be in a business district.","Suits are typically worn in business districts for convenience and professionalism.  Therefore, you would be entering a business area if you were dressed in a suit.",0.20235532976221293
f3ff95e09bfab7de16e797c0477494c9,Where might a traveler keep their comb?,shoe,pocket,suitcase,barber shop,medicine cabinet,2,People on the move have to keep necessities with them at all times,"A traveler might keep their comb in their suitcase, as it is a convenient and secure place to store it.  It can also help to keep it away from dust and other contaminants that might be present in their pocket or shoe.  Additionally, it is a safe place to store sensitive items, as the traveler can ensure that only they have access to their comb.",0.034758041496388614
48384216a01c06354490549458b6e0a3,Greed will cause a real estate agent to do what in order to sell a house?,succeed,lie,cause business profits,buy food,get,1,Real estate agents generally lie to sell the property,"Greed will cause a real estate agent to tell any lie they can to sell a house.  This includes fabricating information, such as making false statements about the property or its features, or omitting important details about the property.  Such behavior is unethical and can damage the reputation of the real estate agent, the house, and the buyers.   It is also likely to get the real estate agent into trouble with their superiors.  Therefore, greed should be avoided at all costs when working as a real estate agent.",0.40740071376785636
84e983f432647531b55b8b72c12fb78a,"Joe suffered many consequences from stabbing a stranger to death.   Among them, the family of the victim did something to him. What was that?",knife wounds,buy a gun,bleeding,jail time,law suit,4,A law suit punishes as a result for committing a crime such as stabbing a stranger to death,"Joe suffered many consequences from stabbing a stranger to death, including the family of the victim doing something to him.",0.16618683425258496
9b4c6ad13b3ac91b9f4238ab64d9e0af,What business serves alcoholic refreshment?,church,homeless shelter,prison,bar,park,3,"Alcoholism, now known as alcohol use disorder, is a condition in which a person has a desire or physical need to consume alcohol, even .",Bars and restaurants are businesses that serve alcoholic refreshment.,0.4243272221647203
85b145b803fd8e8a71397d546d603fb8,"The gardener was famous for his rosebush, the roses were used all over America and up north where?",park,maine,canada,california,indiana,2,that's the best option since that's where there are more roses,"The gardener was most famous for his rosebush in canada, where the roses were used all over the country and up north. ",0.1431684264098294
82186cc6396012aa291b038e9aee3645,What type of structure has doorways that are connected to vehicles?,airport,castle,library,every building,zoo,0,The doorways secure the airplane,No type of structure has doorways connected to vehicles.,0.2532588851172477
e45ea8495eace35f92a78373e25ce156,What is killing likely to lead to for legal purposes?,guilty conscience,criminal trial,pleasure,retribution,a fun day out,1,"Only option that is a legal purpose, the others are human values consequence.","When someone is found guilty of a crime, they can be sentenced to death or to life in prison.",0.17988364277698565
7b89fe3ff96a8701fe46ae0ea6764051,"When you get down to the primal basics, flirting causes what?",getting into trouble,sparks fly,sexual excitement,sadness,unwanted pregnancy,2,Hormones increase in body after flirting goes well,Flirting causes a surge of sexual excitement in the person.,0.032863216430996545
e7b213d14979a090edd3aaf27ff3e624,"John didn't like going to the square, but he did anyway.   Where might the square be?",geometry,circle,town center,fifties,carpenter's tool box,2,"the town center is the only location that one could go to, the other two answers have nothing to do with a location.","The square could be located in the town center, which is typically a large open area with many amenities, such as a library, a park, and shops.  It could also be located in a more specific area within the town, such as a residential area or a business district.",0.17707934812642634
78bfc6a2a301bb540cc33f0e5ea3d310,"The rich kids suffered from boredom, one suggested heading up to his parents lodge and that they what?",hang out at bar,play games,skateboard,have dinner,go skiing,4,"Typical a lodge is referred to a place up in the mountains, that one could go skiing from.","The rich kids suffered from boredom, so one suggested heading up to his parents' lodge to play games and have dinner.  They could also hang out at the bar.",0.05223568958535907
bb79c0af4d46a476065c4756cfdbe92d,"While in the process of heading home he realized at the last moment he hadn't gotten a souvenir from the trip, luckily the what had a gift shop?",museum,airport,hotel,shop,disneyland,1,An airport is the only place where you would be heading home but be able to find a gift shop,"Because the airport is a place where people can fly away from their homes, it is a good place to get a souvenir while they are in the process of heading home. ",0.1369912795489654
44f558b6e96a6f802f1230dedfa5f108,"The bat was abducted and absconded to top secret government facilities, where did this happen?",office building,new mexico,bridge,belfry,dug out,1,new mexico is where the top secret gov. facilities are,The bat was abducted and absconded to top secret government facilities in Mexico.,0.1505988889548462
94d64b7bdf755b8d38f8885abe8f1479,What is likely to be a long term negative consequence of of over eating hamburger?,gaining weight,stomach ache,get full,losing weight,death,0,"Gaining weight is a long term consequence, whereas feeling full or getting a stomach ache is short term.","Over-eating hamburger can lead to weight gain over time due to the high fat and salt content of the food. This can lead to a increase in hunger, which can lead to further overeating. Additionally, the large amount of sugar in many hamburgers can lead to a spike in blood sugar levels, which can contribute to weight gain.",0.21205588424345478
db763313602729c5cd603024f948ca39,There is very little original art these days.  How might most art be described?,copy,derivative,reproduction,simile,internet,1,derivative There is very little original art these days. How might most art be described?,"Most art today can be described as derivative, as it is a reproduction of something else or a modification of an existing work.",0.2255500999162905
