review,label,shap_values,shap_base_values,shap_data,y_prob,model_nle
"""L.I.E."" is a disturbing indie flick featuring Brian Cox's brilliant acting. The film presents a complex character, Big John, in an empathetic light, which unsettles some viewers. However, the film is padded with unnecessary subplots and its screenplay doesn't always deliver the best material. ",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""The Matchmaker"" is a predictable romantic comedy with few laughs and flat political satire. Janeane Garofalo's performance is almost excruciating and the film falls for every cliché. The script is weak and both Garofalo and Denis Leary should have known better.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""The Musketeer"" is a bland and lukewarm adaptation of Dumas's classic, with poor acting and a predictable screenplay. The attempt to blend eastern and western filmmaking styles is a disaster, resulting in a film that is weighed down by its own shortcomings.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Mortal Kombat: Annihilation"" is a confusing, trite, and silly sequel that fails to live up to the first movie. The acting is poor, the casting is off, and the story is filled with meaningless sidetracks. However, fans of the games or the first movie might appreciate the fight scenes and character moves.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Shattered Image"" is a boring film with a convoluted plot and leaden dialogue. Anne Parillaud and William Baldwin's performances are uninspiring, and the film lacks interesting characters and style. The film's attempt at complexity comes off as just plain stupid.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""John Carpenter's Ghosts of Mars"" is a typical B-movie with a chaotic plot, mediocre acting, and subpar special effects. Despite its shortcomings, it doesn't pretend to be anything more than it is, which may disappoint fans of high-quality sci-fi/horror.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"Alicia Silverstone's film choices, including ""The Babysitter"", have been consistently disappointing. Despite her beauty, the films she stars in, including this one, are poorly written, lack suspense, drama, and humor, and fail to utilize her talent effectively.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Mission to Mars"" is a disappointing mix of various successful sci-fi films. Despite a promising start, the film quickly becomes underwhelming, filled with technical jargon and an anti-climactic ending. The film lacks substance and originality, making it a regrettable watch.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Drive Me Crazy"" is a predictable teen comedy that fails to deliver any smart comedy or interesting plot. Despite the presence of Melissa Joan Hart and Adrien Grenier, the film is nothing more than teens whining about a dance, making it a tedious watch.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Mighty Joe Young"" is a visually impressive but ultimately unsatisfying film. Despite the presence of a giant digital gorilla and competent actors, the film suffers from a weak plot, lack of character development, and poor dialogue. It's a special effects movie pretending to have a heart.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Spawn"" is a movie seemingly made for and by pre-teen boys, with its over-the-top violence and humor. Despite its high budget, the CGI is unimpressive and the characters are underdeveloped. Even John Leguizamo's performance can't save this film.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""In Dreams"" squanders its potential with a confusing plot and underdeveloped characters. Despite Annette Bening's strong performance and Darius Khondji's stunning cinematography, the film's lack of coherence and sense makes it a disappointment.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Knock Off"" is a cheap action movie that fails on every level. Jean-Claude Van Damme's performance is unconvincing, the direction is chaotic, and the plot is unclear. The film's low-quality production and poor acting make it the worst movie of the year.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Snake Eyes"" starts off promising but quickly becomes disappointing due to its predictable plot and cliched characters. Despite Nicolas Cage's strong performance, the film's lack of complexity and originality makes it a letdown.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""The Crucible"" is a film that fails to live up to its potential. Despite strong performances from Daniel Day Lewis and Joan Allen, the film's heavy-handed moralizing and lack of subtlety make it a frustrating watch.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"Jean-Luc Godard's latest film, ""In Praise of Love,"" is a frustrating experience. Despite its promising concept of dissecting love into four categories, the film is filled with repetitive vignettes and cryptic dialogues that fail to engage the audience. The beautiful cinematography is overshadowed by the lack of a compelling script and random scene cuts.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Ghost of Mars"" is a poorly constructed film with a simplistic story, forced character development, and convenient plot points. The film's attempts at humor and action sequences are ill-conceived, making it a ridiculously bad story that relies heavily on convenience.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Reindeer Games"" is a poorly written film with unbelievable dialogue, one-dimensional characters, and an incoherent plot filled with nonsensical twists. The film's constant rule-changing and self-congratulatory cleverness make it a punishing viewing experience. The film's twists are unoriginal and the characters are badly written.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""102 Dalmatians"" is a disappointing sequel that lacks humor, plot, and engaging performances. The film's attempts at humor are embarrassing, the plot is repetitive, and the lead actors are wooden. The film's script is far removed from Dodie Smith's original work, and the dogs' performances feel overly staged.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""The Late Great Planet Earth"" is a dated, one-sided documentary that predicts the apocalypse based on biblical prophecies. The film's predictions have not come true, and its allusions to public figures being the Antichrist are ludicrous. The film's depiction of the battle for Armageddon is incredibly boring. The DVD release is of fair to good quality.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Play It to the Bone"" fails to use sports as a method of connecting characters and creating interesting subplots like Ron Shelton's other films. The boxing theme is dull, the side story is worse, and the film lacks a social message. The friendship between the main characters is weak and confusing, and the film is filled with irrelevant side stories.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Inspector Gadget"" follows the same formulaic approach as ""My Favorite Martian"", resulting in a disappointing adaptation of a beloved cartoon. The film is filled with painful sexual references, unnecessary bug guts, and lacks character depth. The charming Michelle Trachtenberg is underutilized, and the dialogue is pretty bad. The film is mostly an unnecessary origin story for both Gadget and Claw.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Hong Kong cinema's recent productions have been maddeningly convoluted and visually sumptuous. ""Romeo Must Die"" bears all the trademarks of a typical Hollywood action film and none of Hong Kong's rhythms. The film is both absurd and assured, with adequate performances. However, the pacing is lethargic and the script is unfocused. The fight scenes are the best part of the film.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""The Replacements"" is a hokey mistake of a football film, filled with one-dimensional characters, rampant stereotypes, cliched emotional statements, and predictable football plays. The film fails to offer the dramatic gusto painted with blood and sweat on the battlefield of life that sports films usually provide.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Bully"" is a film about bored, foul-mouthed Florida teens who murder their high school bully. The film could have provided fascinating insights into what turned these aimless kids into premeditated killers, but instead, it focuses more on the filmmaker's pornographic proclivities. The nudity in the film is plentiful, graphic, and feels exploitative. The film aims for truth, exploits it shamelessly, then bludgeons it to death.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"Sean Connery's performance as a Harvard law professor in a courtroom drama is entertaining, but the film's plot lacks logic and direction. The director fails to establish the film's message, making it a disappointing watch.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Woman of Desire"" stands out among early 90s erotic thrillers due to its director, Robert Ginty. However, the film's characters behave foolishly, making it hard to care about their fate. The acting is subpar, and the film's attempts at creativity only irritate the viewer.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Lake Placid"" attempts to blend horror and comedy but fails to be either scary or funny. The plot is formulaic and tedious, and the film's attempts at suspense fall flat. The performances are lackluster, with only a few chuckles squeezed out of the script.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Starship Troopers"" is a violent, unenjoyable film that fails to engage the audience. The characters and story are poorly developed, and the film's attempts at satire are tiresome. The film's quasi-fascist flavor is repulsive, making it one of the worst movies I've seen in a long time.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""The Island of Dr. Moreau"" fails to capitalize on its interesting premise. The film lacks character development and prioritization, making it hard to connect with the characters. The special effects are unimpressive, and the film fails to deliver the important message of the original H.G. Wells classic.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""The English Patient"" is a lengthy drama with great acting and cinematography, but its dull sub-plots and characters make it hard to follow. Ralph Fiennes gives a gripping performance, but the film's length and excessive dialogue make it less enjoyable.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Out of Sight"" director Steven Soderbergh's ""The Limey"" is a cold, confusing thriller. Despite good performances from Terrence Stamp and Peter Fonda, the film's non-linear storytelling and uninteresting plot make it a frustrating watch.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""High Art"" is a pseudo-intellectual film about the art magazine world, filled with pretentious characters and a lackluster plot. Despite decent performances from Ally Sheedy and Radha Mitchell, the film's focus on drug use and its manipulative ending make it unappealing.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Party Camp"" is a mind-numbingly brainless comedy with a weak plot and no talent involved. The film's jokes fall flat, and only Jewel Shepard's performance as a flighty bimbo adds some fun to this otherwise dull, low-budget teen comedy.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Never Been Kissed"" is a teen movie featuring Drew Barrymore as a dweebish reporter returning to high school. Despite some funny moments, the film's unrealistic portrayal of high school, embarrassing dialogue, and plot inconsistencies make it a disappointing watch.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Boys and Girls"" is a predictable teenage romantic comedy that fails to entertain. The dialogue is terrible, the supporting cast is useless, and the film is dominated by Freddie Prinze Jr.'s character, leaving Claire Forlani's character underdeveloped. It's a forgettable movie that I wouldn't recommend.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Hard Rain"" is a disaster movie that progressively worsens with every passing minute. It's a dull chase sequence with no real characters and a plot that barely makes sense. The action grows tedious and the characters are paper-thin. It's a disappointing film that fails to engage.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Instinct"" is a grossly sentimental film that insults the audience's intelligence. The plot has potential but is poorly executed. The lead character, a psychiatrist, is blatantly incompetent. Despite Anthony Hopkins' brilliant performance, the film's execution is unacceptable and fails to inspire.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""A Stranger Among Us"" is a rip-off of Peter Weir's ""Witness"" with terrible miscasting of Melanie Griffith. The crime mystery subplot is uninspiring and the film is saved only by the convincing performances of the supporting cast and the effective photography. It's a film that barely avoids being a total waste of time.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""The Legend of 1900"" is an absurd, nonsensical film that lacks compelling elements. The main character, 1900, is unlikable and the story is ludicrous. Despite a few moments of comic relief, the film is limp, lifeless, and quickly forgettable.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""My Giant"" is a disappointing film that fails to deliver on comedy or drama. Despite Billy Crystal's proven comedic talent, the film's weak script and poor direction make it forgettable. The plot, revolving around a giant, is neither funny nor engaging.
",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Spice World"" is a hard-to-watch film featuring the Spice Girls. The plot is a chaotic mix of mismatched ideas, and the characters are as interchangeable as Pringles. The film is neither amusing nor spontaneous, making it a dull watch, even for fans.
",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Summer Catch"" is a clichéd sports film with a predictable rich girl-poor boy love story. The plot is unoriginal and the performances are lackluster. The film borrows heavily from other baseball movies, offering nothing new or exciting.
",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Detroit Rock City"" is a pointless film about four teenage boys trying to get into a KISS concert. The plot is thin, the characters are uninteresting, and the film fails to deliver any humor or excitement. The only redeeming quality is the soundtrack.
",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""The Big Green"" is a formulaic kids' soccer film that lacks originality. The comedy is mostly fast-motion gags and belching bits. The film's music is overly dramatic and doesn't complement the comedy, making it feel out of place.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""The Ghost and the Darkness"" failed to meet my expectations of a Hemingwayesque showdown between men and nature. Instead, it delivered a laughably bad plot, forgettable acting, and incoherent cinematography. The movie lacked excitement and depth.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""One Tough Cop"" is a formulaic cop drama with a predictable plot and unoriginal elements. Despite decent performances, the film lacks originality and fails to create a compelling narrative. It's not terrible, but it's not unique either.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Supposedly based on a true story, the film presents a one-dimensional portrayal of characters and an unrealistic depiction of animal behavior. Despite great scenery and soundtrack, the thin plot and lack of character depth make it unimpressive.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Picture Perfect"" is a clichéd romantic comedy that lacks originality. The film is too long and expects the audience to sympathize with a rather unlikable main character. It's less original and engaging than many TV shows.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Trumpet of the Swan"" is an animated adaptation of E.B. White's work that falls short of being memorable. Despite its regional appeal, the film suffers from flat art, poor sound syncing, and insipid songs. It's more suited for Saturday morning TV than the big screen.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"John Sayles' ""Men with Guns"" disappoints with its predictable plot and condescending tone. Despite a strong performance from Federico Luppi, the film fails to offer anything profound or insightful about the harsh realities of guerrilla warfare.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""U-Turn"" is a pointless and worthless film, despite a good story and a hot cast. Oliver Stone's attempt to take a break from making ""important films"" results in a movie that blatantly copies ideas from other films, offering nothing original or engaging.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Battlefield Earth"" is a disastrous sci-fi film that fails on all fronts. The plot is unconvincing, the acting is poor, and the direction is uninspired. The film is a prime example of why John Travolta should never star in a sci-fi film.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""America's Sweethearts"" is a contrived and unbelievable romantic comedy that fails to deliver any genuine sentiment or humor. Despite a star-studded cast, the film is a vanity project for Billy Crystal, whose jokes fall flat and whose screen time overshadows the other actors.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""The Art of War"" is a poorly executed action thriller that is high on style but low on substance. Wesley Snipes delivers a lackluster performance, and the film's predictable plot, badly filmed action scenes, and poorly choreographed stunts make it a total waste of time.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Showgirls"" is a truly awful film, saved from a 0/10 rating only by the slight entertainment value of Elizabeth Berkley's irritating performance. The storyline is predictable and the characters are uninteresting, making the film a tiresome watch.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Mr. Nice Guy"" is a typical Jackie Chan film with a weak plot and poor dialogue, but some impressive action sequences. However, it lacks the charm of Chan's best work and its weaknesses are glaringly obvious.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Fight Club"" is a disappointing film with crude humor and an intolerable script. Despite the hype, it fails to deliver, with a weak storyline and poor performances from the cast. It's a tiresome watch that leaves you feeling relieved when it ends.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Home Fries"" is a disappointing film with an off-putting plot and situations. Despite Drew Barrymore's charming performance, the film fails to deliver any laughs or charm. It's a creepy film that tries too hard to be hip and ends up being a tedious watch.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Wild Things"" is a confused mess of a film with countless twists and turns that become tedious. Despite efforts from Kevin Bacon and Matt Dillon, the film fails to deliver on its promise of eroticism and unpredictability. It's a film that prioritizes plot over character, making it an uninteresting watch.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Armageddon"" is a visually stunning but emotionally hollow film. The plot, which involves Bruce Willis and a ragtag team trying to stop an asteroid from destroying Earth, is filled with clichés and lacks depth. The characters are uninteresting and the attempts at humor fall flat.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Deep Impact"" is a disaster movie that lacks suspense and thrills. The plot, which revolves around a comet heading towards Earth, is predictable and the characters are uninteresting. The film tries to be a human drama but fails to engage the audience.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""The Crow: City of Angels"" is a disappointing sequel that lacks originality. The film, which follows a man who comes back from the dead to take revenge, is visually striking but lacks a compelling story and interesting characters. The direction is not bad, but the screenplay is weak.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Down to You"" is a poorly executed romantic comedy. The plot, which follows a college couple's relationship, is illogical and the characters are flat. The film tries to be cute and dramatic but ends up being insipid and artificial. The direction is self-consciously stylish and the performances are weak.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Body of Evidence"" is a sexually explicit thriller that is both dirty and stupid. The film, which stars Madonna as a woman accused of murdering her older lover, is filled with clichés and lacks a compelling story. The sex scenes are unerotic and the courtroom drama is dull.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Braveheart"" was a letdown for me despite its high acclaim and award-winning cinematography. The screenplay was misguided, painting its hero, William Wallace, as a vengeful figure rather than a freedom fighter. The film's emotional portrayal was unconvincing, making it a waste of time.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""The Watcher"" is another lurid, trashy serial killer saga with Keanu Reeves playing a homicidal maniac. The film is filled with sound effects, tricky camera-work, and a muddled soundtrack. Despite the efforts of the cast, the film is appallingly awful and amateurish.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Down to You"" is an extraordinarily ordinary teen comedy that sticks to a boring game plan. Despite the appealing cast, the film is bland, tasteless fluff with banal and uninspired humor. It's a textbook romance that only works in the movies.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Virus"" is a cliched, vacuous film that lacks originality or intelligence. Despite the impressive technical artistry, the film sticks to worn-out conventions of the ""creature"" genre. The actors are wasted here, with no real characters to play, making it another forgettable film.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Godzilla"" is a huge disappointment, with a painfully bad script and corny lines. The film is filled with inconsistencies and unexciting characters. Despite the resources and cutting-edge special effects, the film fails to live up to the name Godzilla. Only Jean Reno's performance is enjoyable.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
